,MODEL,DATASET,SAMPLING,ACCURACY,F1,RECALL,PRECISION,HAMMING_LOSS,TARGET
0,KNN,ORIGINAL,datasets_all,0.5819327731092437,0.7969187675070027,0.7501647989452868,0.8498879761015683,0.12184873949579832,All
1,Decision Tree,ORIGINAL,datasets_all,0.6386554621848739,0.8494411571334647,0.8516809492419248,0.8472131147540983,0.09621848739495799,All
2,SVM,ORIGINAL,datasets_all,0.7237394957983193,0.8772774149192162,0.8411338167435728,0.9166666666666666,0.075,All
3,XGBoost,ORIGINAL,datasets_all,0.726890756302521,0.8868868868868869,0.8760711931443639,0.897972972972973,0.07121848739495798,All
4,AdaBoost,ORIGINAL,datasets_all,0.625,0.7963159759121503,0.7409360580092288,0.8606431852986217,0.1207983193277311,All
5,Bagging,ORIGINAL,datasets_all,0.7027310924369747,0.8746238716148446,0.8622280817402769,0.8873812754409769,0.07878151260504201,All
6,Gradient Boosting,ORIGINAL,datasets_all,0.6827731092436975,0.8512508451656523,0.8299274884640738,0.8736988202637057,0.09243697478991597,All
7,random Forest,ORIGINAL,datasets_all,0.7153361344537815,0.8790915163660653,0.8675016479894528,0.8909952606635071,0.07605042016806722,All
8,Mlp-adam,ORIGINAL,datasets_all,0.7037815126050421,0.8703130374957001,0.8338826631509558,0.9100719424460432,0.0792016806722689,All
9,Mlp-lbfgs,ORIGINAL,datasets_all,0.7184873949579832,0.882313829787234,0.8747528015820699,0.8900067069081153,0.07436974789915966,All
10,Mlp-sgd,ORIGINAL,datasets_all,0.46008403361344535,0.6172539489671931,0.5023071852340145,0.8004201680672269,0.19852941176470587,All
11,CatBoost,ORIGINAL,datasets_all,0.717436974789916,0.8778038165383328,0.8642056690837179,0.8918367346938776,0.07668067226890757,All
12,Voting,ORIGINAL,datasets_all,0.7415966386554622,0.8942436412315932,0.8806855636123929,0.9082256968048946,0.06638655462184874,All
13,KNN,ORIGINAL,datasets_lemmatize_text,0.5756302521008403,0.7830763714593044,0.7198417930125247,0.8584905660377359,0.12710084033613445,All
14,Decision Tree,ORIGINAL,datasets_lemmatize_text,0.6239495798319328,0.8441945087661263,0.8411338167435728,0.8472775564409031,0.09894957983193277,All
15,SVM,ORIGINAL,datasets_lemmatize_text,0.717436974789916,0.8726268553676216,0.8332234673698088,0.9159420289855073,0.07752100840336135,All
16,XGBoost,ORIGINAL,datasets_lemmatize_text,0.7363445378151261,0.8893373696602759,0.8714568226763348,0.907967032967033,0.06911764705882353,All
17,AdaBoost,ORIGINAL,datasets_lemmatize_text,0.6228991596638656,0.7931404072883173,0.7317073170731707,0.8658346333853354,0.12163865546218487,All
18,Bagging,ORIGINAL,datasets_lemmatize_text,0.6901260504201681,0.8688634835238737,0.8516809492419248,0.8867536032944406,0.0819327731092437,All
19,Gradient Boosting,ORIGINAL,datasets_lemmatize_text,0.6964285714285714,0.8551068883610451,0.8305866842452209,0.8811188811188811,0.08970588235294118,All
20,random Forest,ORIGINAL,datasets_lemmatize_text,0.7184873949579832,0.8730756072528224,0.8411338167435728,0.9075391180654339,0.07794117647058824,All
21,Mlp-adam,ORIGINAL,datasets_lemmatize_text,0.7027310924369747,0.869475138121547,0.8299274884640738,0.9129804205946338,0.07941176470588235,All
22,Mlp-lbfgs,ORIGINAL,datasets_lemmatize_text,0.7163865546218487,0.8843582887700535,0.8721160184574819,0.8969491525423728,0.0726890756302521,All
23,Mlp-sgd,ORIGINAL,datasets_lemmatize_text,0.46008403361344535,0.6172539489671931,0.5023071852340145,0.8004201680672269,0.19852941176470587,All
24,CatBoost,ORIGINAL,datasets_lemmatize_text,0.7195378151260504,0.8815261044176707,0.8681608437705999,0.8953093133922502,0.07436974789915966,All
25,Voting,ORIGINAL,datasets_lemmatize_text,0.7573529411764706,0.896505376344086,0.8793671720500988,0.914324880054832,0.06470588235294118,All
26,KNN,ORIGINAL,datasets_normalizeRepeatedChars,0.5756302521008403,0.778894472361809,0.7152274225444957,0.8550039401103231,0.12941176470588237,All
27,Decision Tree,ORIGINAL,datasets_normalizeRepeatedChars,0.6460084033613446,0.8480424684804247,0.8424522083058669,0.8537074148296593,0.09621848739495799,All
28,SVM,ORIGINAL,datasets_normalizeRepeatedChars,0.7237394957983193,0.8749569410954184,0.8371786420566908,0.9163059163059163,0.07626050420168068,All
29,XGBoost,ORIGINAL,datasets_normalizeRepeatedChars,0.7489495798319328,0.8921733288545516,0.8754119973632168,0.9095890410958904,0.06743697478991596,All
30,AdaBoost,ORIGINAL,datasets_normalizeRepeatedChars,0.6292016806722689,0.797158081705151,0.7396176664469347,0.864406779661017,0.11995798319327731,All
31,Bagging,ORIGINAL,datasets_normalizeRepeatedChars,0.7037815126050421,0.8709133805190429,0.8516809492419248,0.8910344827586207,0.08046218487394959,All
32,Gradient Boosting,ORIGINAL,datasets_normalizeRepeatedChars,0.6985294117647058,0.8585858585858585,0.8404746209624259,0.8774948382656572,0.08823529411764706,All
33,random Forest,ORIGINAL,datasets_normalizeRepeatedChars,0.717436974789916,0.8716193084560081,0.8391562294001318,0.9066951566951567,0.07878151260504201,All
34,Mlp-adam,ORIGINAL,datasets_normalizeRepeatedChars,0.7142857142857143,0.8744855967078189,0.8404746209624259,0.9113652609006433,0.07689075630252101,All
35,Mlp-lbfgs,ORIGINAL,datasets_normalizeRepeatedChars,0.7352941176470589,0.8914936369725386,0.8773895847066578,0.9060585432266848,0.0680672268907563,All
36,Mlp-sgd,ORIGINAL,datasets_normalizeRepeatedChars,0.46008403361344535,0.6172539489671931,0.5023071852340145,0.8004201680672269,0.19852941176470587,All
37,CatBoost,ORIGINAL,datasets_normalizeRepeatedChars,0.7300420168067226,0.8852459016393442,0.8721160184574819,0.8987771739130435,0.07205882352941176,All
38,Voting,ORIGINAL,datasets_normalizeRepeatedChars,0.7542016806722689,0.8960863697705802,0.8754119973632168,0.9177608845888044,0.06470588235294118,All
39,KNN,ORIGINAL,datasets_removeNulls,0.5777310924369747,0.7800502332256908,0.7165458141067897,0.8559055118110236,0.128781512605042,All
40,Decision Tree,ORIGINAL,datasets_removeNulls,0.6365546218487395,0.844798936523762,0.8378378378378378,0.8518766756032171,0.09810924369747899,All
41,SVM,ORIGINAL,datasets_removeNulls,0.7205882352941176,0.8737931034482758,0.8352010547132498,0.9161243673174259,0.07689075630252101,All
42,XGBoost,ORIGINAL,datasets_removeNulls,0.740546218487395,0.8893360160965794,0.8740936058009229,0.9051194539249147,0.06932773109243698,All
43,AdaBoost,ORIGINAL,datasets_removeNulls,0.6302521008403361,0.7970191625266145,0.7402768622280818,0.8631821675634127,0.12016806722689076,All
44,Bagging,ORIGINAL,datasets_removeNulls,0.7100840336134454,0.8726666666666668,0.8628872775214239,0.882670262980445,0.08025210084033614,All
45,Gradient Boosting,ORIGINAL,datasets_removeNulls,0.6953781512605042,0.8572390572390571,0.8391562294001318,0.8761183757742601,0.08907563025210084,All
46,random Forest,ORIGINAL,datasets_removeNulls,0.7037815126050421,0.8666896314157767,0.8292682926829268,0.9076479076479076,0.08130252100840336,All
47,Mlp-adam,ORIGINAL,datasets_removeNulls,0.7121848739495799,0.874915023793338,0.8483849703361899,0.9031578947368422,0.0773109243697479,All
48,Mlp-lbfgs,ORIGINAL,datasets_removeNulls,0.7289915966386554,0.8882925192888292,0.8727752142386289,0.9043715846994536,0.06995798319327731,All
49,Mlp-sgd,ORIGINAL,datasets_removeNulls,0.46008403361344535,0.6172539489671931,0.5023071852340145,0.8004201680672269,0.19852941176470587,All
50,CatBoost,ORIGINAL,datasets_removeNulls,0.7321428571428571,0.8826890756302521,0.8655240606460118,0.9005486968449932,0.07331932773109244,All
51,Voting,ORIGINAL,datasets_removeNulls,0.7573529411764706,0.8962962962962964,0.8773895847066578,0.9160357880247764,0.06470588235294118,All
52,KNN,ORIGINAL,datasets_removeNumbers,0.5756302521008403,0.7801009372746935,0.7132498352010547,0.8607796340493238,0.12815126050420167,All
53,Decision Tree,ORIGINAL,datasets_removeNumbers,0.6271008403361344,0.8413333333333334,0.8319050758075148,0.8509777478084963,0.1,All
54,SVM,ORIGINAL,datasets_removeNumbers,0.7205882352941176,0.8739669421487603,0.8365194462755439,0.9149242970439798,0.07689075630252101,All
55,XGBoost,ORIGINAL,datasets_removeNumbers,0.7489495798319328,0.8926894701542589,0.8773895847066578,0.9085324232081912,0.06722689075630252,All
56,AdaBoost,ORIGINAL,datasets_removeNumbers,0.6302521008403361,0.7974413646055437,0.7396176664469347,0.8650732459521974,0.11974789915966387,All
57,Bagging,ORIGINAL,datasets_removeNumbers,0.6964285714285714,0.8710543989254534,0.8549769281476599,0.8877481177275839,0.08067226890756303,All
58,Gradient Boosting,ORIGINAL,datasets_removeNumbers,0.6985294117647058,0.8581058308055274,0.8391562294001318,0.8779310344827587,0.08844537815126051,All
59,random Forest,ORIGINAL,datasets_removeNumbers,0.7184873949579832,0.8755129958960329,0.8437705998681608,0.9097370291400142,0.07647058823529412,All
60,Mlp-adam,ORIGINAL,datasets_removeNumbers,0.7111344537815126,0.8728264575519946,0.8437705998681608,0.903954802259887,0.07836134453781513,All
61,Mlp-lbfgs,ORIGINAL,datasets_removeNumbers,0.7289915966386554,0.889558232931727,0.8760711931443639,0.9034670292318151,0.06932773109243698,All
62,Mlp-sgd,ORIGINAL,datasets_removeNumbers,0.46008403361344535,0.6172539489671931,0.5023071852340145,0.8004201680672269,0.19852941176470587,All
63,CatBoost,ORIGINAL,datasets_removeNumbers,0.726890756302521,0.8814016172506738,0.8622280817402769,0.90144727773949,0.07394957983193277,All
64,Voting,ORIGINAL,datasets_removeNumbers,0.7563025210084033,0.8972464741437207,0.8806855636123929,0.9144421629021219,0.06428571428571428,All
65,KNN,ORIGINAL,datasets_removePonctuation,0.569327731092437,0.781294964028777,0.7158866183256427,0.8598574821852731,0.12773109243697478,All
66,Decision Tree,ORIGINAL,datasets_removePonctuation,0.6323529411764706,0.8380258363696588,0.8338826631509558,0.8422103861517976,0.10273109243697479,All
67,SVM,ORIGINAL,datasets_removePonctuation,0.7226890756302521,0.8738800827015851,0.8358602504943968,0.9155234657039711,0.07689075630252101,All
68,XGBoost,ORIGINAL,datasets_removePonctuation,0.7415966386554622,0.8907619689817936,0.8707976268951879,0.911663216011042,0.0680672268907563,All
69,AdaBoost,ORIGINAL,datasets_removePonctuation,0.625,0.796875,0.7396176664469347,0.8637413394919169,0.12016806722689076,All
70,Bagging,ORIGINAL,datasets_removePonctuation,0.6890756302521008,0.8665991219182709,0.8457481872116018,0.8885041551246537,0.08298319327731092,All
71,Gradient Boosting,ORIGINAL,datasets_removePonctuation,0.694327731092437,0.8565629228687416,0.8345418589321029,0.8797776233495483,0.08907563025210084,All
72,random Forest,ORIGINAL,datasets_removePonctuation,0.7006302521008403,0.8654970760233918,0.8292682926829268,0.9050359712230216,0.08214285714285714,All
73,Mlp-adam,ORIGINAL,datasets_removePonctuation,0.7048319327731093,0.8677827126750939,0.8371786420566908,0.900709219858156,0.08130252100840336,All
74,Mlp-lbfgs,ORIGINAL,datasets_removePonctuation,0.7310924369747899,0.8882960986995665,0.8780487804878049,0.8987854251012146,0.0703781512605042,All
75,Mlp-sgd,ORIGINAL,datasets_removePonctuation,0.46008403361344535,0.6172539489671931,0.5023071852340145,0.8004201680672269,0.19852941176470587,All
76,CatBoost,ORIGINAL,datasets_removePonctuation,0.7195378151260504,0.879217273954116,0.8589321028345419,0.9004837595024188,0.07521008403361344,All
77,Voting,ORIGINAL,datasets_removePonctuation,0.7605042016806722,0.8988235294117647,0.8813447593935398,0.9170096021947873,0.06323529411764706,All
78,KNN,ORIGINAL,datasets_removeStopwords,0.5787815126050421,0.7807332854061826,0.7158866183256427,0.8584980237154151,0.12815126050420167,All
79,Decision Tree,ORIGINAL,datasets_removeStopwords,0.6554621848739496,0.8510919920582395,0.8477257745550428,0.8544850498338871,0.09453781512605042,All
80,SVM,ORIGINAL,datasets_removeStopwords,0.726890756302521,0.8776284039986212,0.8391562294001318,0.9197976878612717,0.07457983193277311,All
81,XGBoost,ORIGINAL,datasets_removeStopwords,0.7436974789915967,0.8919371027099365,0.8787079762689519,0.9055706521739131,0.06785714285714285,All
82,AdaBoost,ORIGINAL,datasets_removeStopwords,0.625,0.7967364313586379,0.7402768622280818,0.8625192012288786,0.1203781512605042,All
83,Bagging,ORIGINAL,datasets_removeStopwords,0.7027310924369747,0.8697986577181209,0.8543177323665129,0.885850991114149,0.08151260504201681,All
84,Gradient Boosting,ORIGINAL,datasets_removeStopwords,0.6890756302521008,0.8517392772711921,0.8312458800263678,0.8732686980609419,0.09222689075630253,All
85,random Forest,ORIGINAL,datasets_removeStopwords,0.7153361344537815,0.8767946577629382,0.8655240606460118,0.8883626522327469,0.07752100840336135,All
86,Mlp-adam,ORIGINAL,datasets_removeStopwords,0.6995798319327731,0.8658245134858313,0.8358602504943968,0.8980169971671388,0.08256302521008403,All
87,Mlp-lbfgs,ORIGINAL,datasets_removeStopwords,0.726890756302521,0.8894070619586942,0.8800263678312459,0.898989898989899,0.06974789915966387,All
88,Mlp-sgd,ORIGINAL,datasets_removeStopwords,0.46008403361344535,0.6172539489671931,0.5023071852340145,0.8004201680672269,0.19852941176470587,All
89,CatBoost,ORIGINAL,datasets_removeStopwords,0.7121848739495799,0.8777555110220442,0.8661832564271589,0.8896411645226812,0.07689075630252101,All
90,Voting,ORIGINAL,datasets_removeStopwords,0.7521008403361344,0.8944016091183373,0.8793671720500988,0.9099590723055935,0.0661764705882353,All
91,KNN,ORIGINAL,datasets_removeUpper,0.5777310924369747,0.7800502332256908,0.7165458141067897,0.8559055118110236,0.128781512605042,All
92,Decision Tree,ORIGINAL,datasets_removeUpper,0.6334033613445378,0.8428761651131824,0.8345418589321029,0.85137861466039,0.09915966386554621,All
93,SVM,ORIGINAL,datasets_removeUpper,0.7205882352941176,0.8737931034482758,0.8352010547132498,0.9161243673174259,0.07689075630252101,All
94,XGBoost,ORIGINAL,datasets_removeUpper,0.740546218487395,0.8893360160965794,0.8740936058009229,0.9051194539249147,0.06932773109243698,All
95,AdaBoost,ORIGINAL,datasets_removeUpper,0.6302521008403361,0.7970191625266145,0.7402768622280818,0.8631821675634127,0.12016806722689076,All
96,Bagging,ORIGINAL,datasets_removeUpper,0.7069327731092437,0.8726541554959786,0.8582729070533949,0.8875255623721882,0.07983193277310924,All
97,Gradient Boosting,ORIGINAL,datasets_removeUpper,0.6964285714285714,0.8571428571428571,0.8384970336189849,0.8766368022053757,0.08907563025210084,All
98,random Forest,ORIGINAL,datasets_removeUpper,0.7016806722689075,0.8663028649386084,0.8371786420566908,0.8975265017667845,0.08235294117647059,All
99,Mlp-adam,ORIGINAL,datasets_removeUpper,0.7069327731092437,0.8722826086956522,0.8464073829927489,0.8997897687456202,0.07899159663865546,All
100,Mlp-lbfgs,ORIGINAL,datasets_removeUpper,0.7300420168067226,0.8882943143812709,0.8754119973632168,0.9015614392396469,0.07016806722689076,All
101,Mlp-sgd,ORIGINAL,datasets_removeUpper,0.46008403361344535,0.6172539489671931,0.5023071852340145,0.8004201680672269,0.19852941176470587,All
102,CatBoost,ORIGINAL,datasets_removeUpper,0.7321428571428571,0.8826890756302521,0.8655240606460118,0.9005486968449932,0.07331932773109244,All
103,Voting,ORIGINAL,datasets_removeUpper,0.7563025210084033,0.896505376344086,0.8793671720500988,0.914324880054832,0.06470588235294118,All
104,KNN,ORIGINAL,datasets_stem_text,0.5777310924369747,0.7834463075276491,0.7237969676994067,0.8538102643856921,0.12752100840336134,All
105,Decision Tree,ORIGINAL,datasets_stem_text,0.6260504201680672,0.8420705572040884,0.8417930125247198,0.8423482849604221,0.10063025210084034,All
106,SVM,ORIGINAL,datasets_stem_text,0.7226890756302521,0.8754743014832701,0.8365194462755439,0.9182344428364689,0.07584033613445378,All
107,XGBoost,ORIGINAL,datasets_stem_text,0.7342436974789915,0.8891122278056952,0.8747528015820699,0.9039509536784741,0.06953781512605042,All
108,AdaBoost,ORIGINAL,datasets_stem_text,0.6323529411764706,0.7991483321504613,0.7422544495715228,0.865488086087625,0.11890756302521008,All
109,Bagging,ORIGINAL,datasets_stem_text,0.717436974789916,0.8744588744588744,0.8655240606460118,0.8835800807537012,0.0792016806722689,All
110,Gradient Boosting,ORIGINAL,datasets_stem_text,0.6869747899159664,0.8539553752535497,0.8325642715886619,0.8764746703678001,0.0907563025210084,All
111,random Forest,ORIGINAL,datasets_stem_text,0.7048319327731093,0.8681958233481685,0.8358602504943968,0.9031339031339032,0.08088235294117647,All
112,Mlp-adam,ORIGINAL,datasets_stem_text,0.707983193277311,0.8745299145299145,0.8431114040870138,0.9083806818181818,0.07710084033613446,All
113,Mlp-lbfgs,ORIGINAL,datasets_stem_text,0.7310924369747899,0.8891129032258065,0.8721160184574819,0.9067854694996573,0.06932773109243698,All
114,Mlp-sgd,ORIGINAL,datasets_stem_text,0.46008403361344535,0.6172539489671931,0.5023071852340145,0.8004201680672269,0.19852941176470587,All
115,CatBoost,ORIGINAL,datasets_stem_text,0.7184873949579832,0.8779011099899093,0.8602504943968359,0.8962912087912088,0.07626050420168068,All
116,Voting,ORIGINAL,datasets_stem_text,0.7626050420168067,0.9015787705744039,0.8846407382992749,0.9191780821917809,0.0615546218487395,All
117,KNN,ORIGINAL,datasets_tokenize_text,0.5777310924369747,0.7800502332256908,0.7165458141067897,0.8559055118110236,0.128781512605042,All
118,Decision Tree,ORIGINAL,datasets_tokenize_text,0.634453781512605,0.8416860272154,0.8358602504943968,0.8475935828877005,0.10021008403361345,All
119,SVM,ORIGINAL,datasets_tokenize_text,0.7205882352941176,0.8737931034482758,0.8352010547132498,0.9161243673174259,0.07689075630252101,All
120,XGBoost,ORIGINAL,datasets_tokenize_text,0.740546218487395,0.8893360160965794,0.8740936058009229,0.9051194539249147,0.06932773109243698,All
121,AdaBoost,ORIGINAL,datasets_tokenize_text,0.6302521008403361,0.7970191625266145,0.7402768622280818,0.8631821675634127,0.12016806722689076,All
122,Bagging,ORIGINAL,datasets_tokenize_text,0.7027310924369747,0.8717259905977166,0.8556361239288068,0.8884325804243669,0.08025210084033614,All
123,Gradient Boosting,ORIGINAL,datasets_tokenize_text,0.6953781512605042,0.8559865092748735,0.8365194462755439,0.8763812154696132,0.08970588235294118,All
124,random Forest,ORIGINAL,datasets_tokenize_text,0.7121848739495799,0.8723186925434117,0.8444297956493079,0.902112676056338,0.07878151260504201,All
125,Mlp-adam,ORIGINAL,datasets_tokenize_text,0.7153361344537815,0.8750853242320819,0.8450889914304548,0.9072894550601557,0.07689075630252101,All
126,Mlp-lbfgs,ORIGINAL,datasets_tokenize_text,0.7258403361344538,0.8864321608040201,0.8721160184574819,0.9012261580381471,0.07121848739495798,All
127,Mlp-sgd,ORIGINAL,datasets_tokenize_text,0.46008403361344535,0.6178137651821863,0.5029663810151616,0.8006295907660022,0.19831932773109243,All
128,CatBoost,ORIGINAL,datasets_tokenize_text,0.7321428571428571,0.8826890756302521,0.8655240606460118,0.9005486968449932,0.07331932773109244,All
129,Voting,ORIGINAL,datasets_tokenize_text,0.7542016806722689,0.8958333333333334,0.8787079762689519,0.9136394790952708,0.06512605042016807,All
